Tolerance_Threshold,LODS (eps=0.00),LODS (eps=0.05),LODS (eps=0.10),LODS (eps=0.15),LODS (eps=0.20),LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.35),LODS (eps=0.40),LODS (eps=0.45),LODS (eps=0.50),LODS (eps=0.55),LODS (eps=0.60)
0.0,189.14250000000007,,,,,,,,,,,,
0.05,,188.84900000000007,,,,,,,,,,,
0.1,,,189.43350000000007,,,,,,,,,,
0.15,,,,189.43600000000006,,,,,,,,,
0.2,,,,,189.43600000000006,,,,,,,,
0.25,,,,,,188.55550000000005,,,,,,,
0.3,,,,,,,189.43600000000006,,,,,,
0.35,,,,,,,,184.72500000000008,,,,,
0.4,,,,,,,,,186.51375000000007,,,,
0.45,,,,,,,,,,175.11825000000005,,,
0.5,,,,,,,,,,,159.78675000000004,,
0.55,,,,,,,,,,,,136.82925000000003,
0.6,,,,,,,,,,,,,97.875
