Tolerance_Threshold,LODS (eps=0.00),LODS (eps=0.05),LODS (eps=0.10),LODS (eps=0.15),LODS (eps=0.20),LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.35),LODS (eps=0.40),LODS (eps=0.45),LODS (eps=0.50),LODS (eps=0.55),LODS (eps=0.60)
0.0,2.1150392103581,,,,,,,,,,,,
0.05,,2.1184253177909538,,,,,,,,,,,
0.1,,,2.1116814981301344,,,,,,,,,,
0.15,,,,2.1116531029252466,,,,,,,,,
0.2,,,,,2.1117573810356864,,,,,,,,
0.25,,,,,,2.1217071471133675,,,,,,,
0.3,,,,,,,2.1117573810356864,,,,,,
0.35,,,,,,,,2.1684606856158544,,,,,
0.4,,,,,,,,,2.1472501085222424,,,,
0.45,,,,,,,,,,2.2928216738076834,,,
0.5,,,,,,,,,,,2.5097470005964575,,
0.55,,,,,,,,,,,,2.9537930600358324,
0.6,,,,,,,,,,,,,4.126621075428663
