Tolerance_Threshold,LODS (eps=0.00),LODS (eps=0.05),LODS (eps=0.10),LODS (eps=0.15),LODS (eps=0.20),LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.35),LODS (eps=0.40),LODS (eps=0.45),LODS (eps=0.50),LODS (eps=0.55),LODS (eps=0.60)
0.0,0.18914250000000005,,,,,,,,,,,,
0.05,,0.18884900000000004,,,,,,,,,,,
0.1,,,0.18943350000000006,,,,,,,,,,
0.15,,,,0.18943600000000005,,,,,,,,,
0.2,,,,,0.18943600000000005,,,,,,,,
0.25,,,,,,0.18855550000000004,,,,,,,
0.3,,,,,,,0.18943600000000005,,,,,,
0.35,,,,,,,,0.18472500000000006,,,,,
0.4,,,,,,,,,0.18651375000000006,,,,
0.45,,,,,,,,,,0.17511825000000006,,,
0.5,,,,,,,,,,,0.15978675000000003,,
0.55,,,,,,,,,,,,0.13682925,
0.6,,,,,,,,,,,,,0.097875
