Tolerance_Threshold,LODS (eps=0.00),LODS (eps=0.05),LODS (eps=0.10),LODS (eps=0.15),LODS (eps=0.20),LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.35),LODS (eps=0.40),LODS (eps=0.45),LODS (eps=0.50),LODS (eps=0.55),LODS (eps=0.60)
0.0,189.1425,,,,,,,,,,,,
0.05,,188.84900000000002,,,,,,,,,,,
0.1,,,189.4335,,,,,,,,,,
0.15,,,,189.436,,,,,,,,,
0.2,,,,,189.436,,,,,,,,
0.25,,,,,,188.5555,,,,,,,
0.3,,,,,,,189.436,,,,,,
0.35,,,,,,,,184.725,,,,,
0.4,,,,,,,,,186.51375000000002,,,,
0.45,,,,,,,,,,175.11825,,,
0.5,,,,,,,,,,,159.78675,,
0.55,,,,,,,,,,,,136.82925,
0.6,,,,,,,,,,,,,97.875
