Tolerance_Threshold,LODS (eps=0.00),LODS (eps=0.05),LODS (eps=0.10),LODS (eps=0.15),LODS (eps=0.20),LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.35),LODS (eps=0.40),LODS (eps=0.45),LODS (eps=0.50),LODS (eps=0.55),LODS (eps=0.60)
0.0,0.1891425,,,,,,,,,,,,
0.05,,0.188849,,,,,,,,,,,
0.1,,,0.1894335,,,,,,,,,,
0.15,,,,0.189436,,,,,,,,,
0.2,,,,,0.189436,,,,,,,,
0.25,,,,,,0.18855550000000001,,,,,,,
0.3,,,,,,,0.189436,,,,,,
0.35,,,,,,,,0.184725,,,,,
0.4,,,,,,,,,0.18651375,,,,
0.45,,,,,,,,,,0.17511825,,,
0.5,,,,,,,,,,,0.15978675,,
0.55,,,,,,,,,,,,0.13682924999999999,
0.6,,,,,,,,,,,,,0.097875
