Tolerance_Threshold,LODS (eps=0.00),LODS (eps=0.05),LODS (eps=0.10),LODS (eps=0.15),LODS (eps=0.20),LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.35),LODS (eps=0.40),LODS (eps=0.45),LODS (eps=0.50),LODS (eps=0.55),LODS (eps=0.60)
0.0,189142.5,,,,,,,,,,,,
0.05,,188849.0,,,,,,,,,,,
0.1,,,189433.5,,,,,,,,,,
0.15,,,,189436.0,,,,,,,,,
0.2,,,,,189436.0,,,,,,,,
0.25,,,,,,188555.5,,,,,,,
0.3,,,,,,,189436.0,,,,,,
0.35,,,,,,,,184725.0,,,,,
0.4,,,,,,,,,186513.75,,,,
0.45,,,,,,,,,,175118.25,,,
0.5,,,,,,,,,,,159786.75,,
0.55,,,,,,,,,,,,136829.25,
0.6,,,,,,,,,,,,,97875.0
