Tolerance_Threshold,LODS (eps=0.00),LODS (eps=0.05),LODS (eps=0.10),LODS (eps=0.15),LODS (eps=0.20),LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.35),LODS (eps=0.40),LODS (eps=0.45),LODS (eps=0.50),LODS (eps=0.55),LODS (eps=0.60)
0.0,32.803114571746384,,,,,,,,,,,,
0.05,,32.91805710048202,,,,,,,,,,,
0.1,,,32.68817204301075,,,,,,,,,,
0.15,,,,32.68817204301075,,,,,,,,,
0.2,,,,,32.69558769002596,,,,,,,,
0.25,,,,,,33.02558398220245,,,,,,,
0.3,,,,,,,32.69558769002596,,,,,,
0.35,,,,,,,,33.99700431402322,,,,,
0.4,,,,,,,,,33.42346196628733,,,,
0.45,,,,,,,,,,36.37111474984474,,,
0.5,,,,,,,,,,,41.40177214090257,,
0.55,,,,,,,,,,,,51.444872207256104,
0.6,,,,,,,,,,,,,81.63461538461539
