algorithm_name,run_id,Round,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,Recall,Goodput,total_time_ms,total_time_s,total_energy_j,edp,collision_rate
LODS (eps=0.25),0,0,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),0,0,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),0,0,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),0,0,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),1,1,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,0,0,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.40),1,1,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),1,1,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),1,1,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),2,2,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,1,1,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.40),2,2,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),2,2,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),2,2,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,2,2,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.25),3,3,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),3,3,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),3,3,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),3,3,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),4,4,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,3,3,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.40),4,4,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),4,4,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),4,4,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),5,5,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,4,4,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.40),5,5,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),6,6,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),6,6,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),5,5,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),6,6,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),5,5,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,5,5,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.25),7,7,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),6,6,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),7,7,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),7,7,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),8,8,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,7,7,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.30),7,7,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,6,6,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.30),8,8,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),8,8,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),8,8,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),9,9,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),9,9,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),9,9,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),9,9,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,8,8,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.25),10,10,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),10,10,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),10,10,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,9,9,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.40),10,10,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,10,10,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.25),11,11,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),11,11,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),11,11,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),11,11,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,11,11,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.25),12,12,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),12,12,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),12,12,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),12,12,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),13,13,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),13,13,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,12,12,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.60),13,13,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),13,13,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),14,14,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),14,14,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
