Round,Fixed-Robust,LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.40),LODS (eps=0.60)
0,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
1,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
2,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
3,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
4,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
5,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
6,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
7,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
8,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
9,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
10,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
11,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
12,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
13,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
14,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
15,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
16,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
17,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
18,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
19,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
20,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
21,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
22,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
23,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
24,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
25,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
26,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
27,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
28,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
29,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
30,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
31,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
32,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
33,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
34,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
35,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
36,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
37,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
38,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
39,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
40,6927.126627874758,12809.837955549863,12809.837955549863,12809.837955549863,12809.837955549863
41,6795.440259585818,12809.837955549863,12809.837955549863,12797.028117594313,12809.837955549863
42,6788.644819326232,12797.028117594313,12797.028117594313,12797.028117594313,12797.028117594313
43,6781.849379066646,12758.598603727663,12758.598603727663,12758.598603727663,12771.408441683214
44,6403.085824493733,12720.169089861014,12758.598603727663,12745.788765772113,12732.978927816564
45,6628.6552632456405,12720.169089861014,12694.549413949915,12681.739575994365,12720.169089861014
46,6257.399485390456,12643.310062127715,12604.880548261066,12681.739575994365,12630.500224172165
47,5820.862513822337,12566.451034394415,12604.880548261066,12566.451034394415,12553.641196438866
48,5894.522231883189,12502.401844616666,12463.972330750017,12476.782168705566,12540.831358483316
49,5774.533657745336,12438.352654838916,12361.493627105618,12374.303465061168,12451.162492794467
50,5744.194618503501,12361.493627105618,12335.873951194519,12207.77557163902,12335.873951194519
51,5355.389275390382,12259.014923461218,12156.53621981682,12169.346057772369,12156.53621981682
52,5492.19987725333,12041.24767821687,12015.628002305772,12066.867354127971,12066.867354127971
53,5547.3351321553955,12028.437840261322,12066.867354127971,12015.628002305772,11990.008326394673
54,5327.1894580090475,11874.719784794723,11861.909946839172,11925.959136616922,11977.198488439122
55,5360.889485177626,11772.241081150323,11733.811567283674,11797.860757061424,11644.142701594825
56,5088.531735222011,11580.093511817076,11656.952539550375,11592.903349772627,11554.473835905976
57,5039.498774175974,11541.663997950427,11516.044322039326,11400.755780439378,11490.424646128227
58,4985.017706347045,11362.326266572729,11195.798373150581,11336.706590661628,11311.08691475053
59,4856.518064368988,11182.98853519503,11106.129507461732,11106.129507461732,11259.84756292833
60,4892.399891037865,11016.460641772883,11029.270479728431,11003.650803817332,10978.031127906233
61,4754.558016608755,10837.122910395185,10965.221289950683,10734.644206750785,10913.981938128483
62,4706.261151880224,10721.834368795235,10632.165503106386,10696.214692884136,10721.834368795235
63,4641.865332242182,10162.194937092618,10040.92769440655,10452.827771728687,10619.355665150837
64,4604.301104119991,9810.519933303018,10286.29987830654,10209.44085057324,10286.29987830654
65,4518.440011269268,7837.058923252041,10081.342471017742,10017.293281239992,10171.011336706591
66,4475.509464843907,10094.152308973293,10017.293281239992,10068.532633062192,10055.722795106643
67,4411.113645205865,7604.5627376425855,9231.226765799256,9902.004739640044,9837.955549862294
68,4352.084143870994,7245.219189024104,8796.178523983153,9722.667008262346,9735.476846217896
69,4309.153597445633,6949.876376713868,8026.897519392158,9607.378466662398,9389.61122141805
70,4201.827231382229,4944.6027223805,7751.568580732269,9248.703003907001,9325.5620316403
71,4185.728276472719,4960.955443270556,5406.8745583359005,8966.886568884904,9210.273490040352
72,4137.431411744187,4632.232103088667,4450.172584922151,7948.217869357529,8941.266892973805
73,4035.4713639839547,4290.953192226618,5186.201000908297,8488.70698802486,8749.119323640556
74,3992.5408175585935,4366.889850091841,4584.05682715075,7801.238022555754,8595.401268173959
75,3933.5113162237217,4210.100776760705,4769.543718061091,6841.437000522817,8633.830782040608
76,3885.2144514951906,3842.2839050698294,4140.798706361353,7095.014957774071,8236.725805418562
77,3831.551268463489,3858.3828599793396,4461.1577154244205,5835.753894903618,8108.627425863063
78,3756.4228122191066,3756.4228122191066,4046.9277715233748,5633.68222778741,7903.670018574266
79,3697.3933108842352,4079.6793683077103,3781.258587524045,4978.141568226211,8018.958560174215
80,3643.7301278525338,3595.433263124002,3622.264854639853,5772.913816689466,7519.374879907769
81,3622.264854639853,3563.2353533049813,3568.6016716081513,3938.340907065847,7647.473259463268
82,3493.473215363769,3536.4037617891304,3568.6016716081513,4861.9124548042155,7404.086338307821
83,3466.6416238479187,3514.93848857645,3493.473215363769,4800.369259173783,7365.656824441171
84,3407.612122513047,3455.9089872415784,3482.740578757429,3423.7110774225575,7455.32569013002
85,3386.1468493003663,3396.8794859067066,3429.0773957257275,3332.483666268665,7211.938768974573
86,3332.483666268665,3348.582621178175,3364.6815760876857,3402.2458042098765,6584.811277853571
87,3311.0183930559842,3348.582621178175,3337.8499845718347,3300.285756449644,6827.643630308077
88,3235.889936811602,3225.157300205262,3278.8204832369634,3636.977990753967,6827.643630308077
89,3257.3552100242828,3219.7909819020915,3246.6225734179425,3407.442869010574,6699.545250752579
90,3176.8604354767303,3203.6920269925813,3203.6920269925813,3310.83872744801,6463.544035167501
91,3144.6625256577095,3128.563570748199,3171.49411717356,3171.49411717356,6763.594440530328
92,3214.3830019068373,3171.49411717356,3182.2267537799003,3176.8604354767303,6622.686223019279
93,3101.7319792323483,3123.197252445029,3090.999342626008,3160.7614805672197,6533.01735733043
94,3101.7319792323483,3080.2667060196677,3150.0288439608794,3143.720802418247,6481.77800550823
95,3117.8309341418585,3128.563570748199,3123.197252445029,3085.6330243228376,6026.98196149765
96,3048.068796200647,3026.6035229879662,3133.929889051369,3037.3361595943065,6340.869787997182
97,3053.4351145038167,3042.7024778974765,3074.9003877164973,3165.2609791470127,6379.299301863832
98,3064.167751110157,3058.801432806987,3090.999342626008,3101.7319792323483,6328.059950041632
99,3096.365660929178,3010.5045680784556,3133.929889051369,3074.9003877164973,6468.968167552681
100,3064.167751110157,3080.2667060196677,3031.969841291136,3090.999342626008,4874.675061410412
101,3101.7319792323483,3053.4351145038167,3026.6035229879662,3112.4646158386886,5494.785041974053
102,3037.3361595943065,3048.068796200647,3053.4351145038167,3107.098297535518,6014.855237229044
