Round,Fixed-Robust,LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.40),LODS (eps=0.60)
0,16,9,9,9,9
1,16,9,9,9,9
2,16,9,9,9,9
3,16,9,9,9,9
4,16,9,9,9,9
5,16,9,9,9,9
6,16,9,9,9,9
7,16,9,9,9,9
8,16,9,9,9,9
9,16,9,9,9,9
10,16,9,9,9,9
11,16,9,9,9,9
12,16,9,9,9,9
13,16,9,9,9,9
14,16,9,9,9,9
15,16,9,9,9,9
16,16,9,9,9,9
17,16,9,9,9,9
18,16,9,9,9,9
19,16,9,9,9,9
20,16,9,9,9,9
21,16,9,9,9,9
22,16,9,9,9,9
23,16,9,9,9,9
24,16,9,9,9,9
25,16,9,9,9,9
26,16,9,9,9,9
27,16,9,9,9,9
28,16,9,9,9,9
29,16,9,9,9,9
30,16,9,9,9,9
31,16,9,9,9,9
32,16,9,9,9,9
33,16,9,9,9,9
34,16,9,9,9,9
35,16,9,9,9,9
36,16,9,9,9,9
37,16,9,9,9,9
38,16,9,9,9,9
39,16,9,9,9,9
40,16,9,9,9,9
41,17,9,9,9,9
42,17,9,9,9,9
43,17,9,9,9,9
44,20,9,9,9,9
45,18,9,9,9,9
46,21,9,9,9,9
47,25,9,9,9,9
48,24,9,9,9,9
49,25,9,9,9,9
50,25,9,9,9,9
51,29,9,9,9,9
52,27,9,9,9,9
53,26,9,9,9,9
54,28,9,9,9,9
55,27,9,9,9,9
56,30,9,9,9,9
57,30,9,9,9,9
58,30,9,9,9,9
59,31,9,9,9,9
60,30,9,9,9,9
61,31,9,9,9,9
62,31,9,9,9,9
63,31,10,10,9,9
64,31,10,9,9,9
65,31,14,9,9,9
66,31,9,9,9,9
67,31,14,10,9,9
68,31,14,11,9,9
69,31,15,12,9,9
70,31,25,12,9,9
71,31,24,21,9,9
72,31,26,27,11,9
73,31,28,21,10,9
74,31,27,25,11,9
75,31,28,23,13,9
76,31,31,28,12,9
77,31,31,24,16,9
78,31,31,27,16,9
79,31,27,30,20,9
80,31,31,31,15,9
81,31,31,31,27,9
82,31,31,31,19,9
83,31,31,31,19,9
84,31,31,31,31,9
85,31,31,31,31,9
86,31,31,31,31,10
87,31,31,31,31,9
88,31,31,31,26,9
89,31,31,31,29,9
90,31,31,31,30,10
91,31,31,31,31,9
92,30,31,31,31,9
93,31,31,31,31,9
94,31,31,31,30,9
95,31,31,31,31,10
96,31,31,31,31,9
97,31,31,31,29,9
98,31,31,31,31,9
99,31,31,31,31,9
100,31,31,31,31,14
101,31,31,31,31,11
102,31,31,31,31,10
103,31,31,31,30,10
104,31,31,31,31,15
105,31,31,31,29,12
106,31,31,31,31,11
107,31,31,31,31,10
108,31,31,31,27,9
109,31,31,31,30,12
110,31,31,31,31,9
111,31,31,31,31,10
112,31,31,31,31,10
113,31,31,31,27,9
114,31,31,31,27,9
115,31,31,31,22,9
116,31,31,31,27,9
117,31,31,31,24,9
118,31,28,31,25,9
119,31,31,27,20,9
120,31,31,31,30,9
121,31,31,28,13,9
122,31,31,31,18,9
123,31,31,28,16,9
124,31,25,30,9,9
125,31,29,27,11,9
126,31,31,26,9,9
127,31,24,22,9,9
128,31,27,14,9,9
129,31,19,17,10,9
130,31,24,14,9,9
131,31,16,10,9,9
132,31,19,12,9,9
133,31,13,10,9,9
134,31,12,9,9,9
135,31,12,10,9,9
136,30,11,10,9,9
137,30,10,9,9,9
138,31,9,9,9,9
139,30,9,9,9,9
140,31,9,9,9,9
141,29,9,9,9,9
142,30,9,9,9,9
143,30,9,9,9,9
144,30,9,9,9,9
145,30,9,9,9,9
146,29,9,9,9,9
147,29,9,9,9,9
148,28,9,9,9,9
149,26,9,9,9,9
150,26,9,9,9,9
151,24,9,9,9,9
152,24,9,9,9,9
153,22,9,9,9,9
154,21,9,9,9,9
155,20,9,9,9,9
156,18,9,9,9,9
157,18,9,9,9,9
158,18,9,9,9,9
159,16,9,9,9,9
160,16,9,9,9,9
161,16,9,9,9,9
162,16,9,9,9,9
163,16,9,9,9,9
164,16,9,9,9,9
165,16,9,9,9,9
166,16,9,9,9,9
167,16,9,9,9,9
168,16,9,9,9,9
169,16,9,9,9,9
170,16,9,9,9,9
171,16,9,9,9,9
172,16,9,9,9,9
173,16,9,9,9,9
174,16,9,9,9,9
175,16,9,9,9,9
176,16,9,9,9,9
177,16,9,9,9,9
178,16,9,9,9,9
179,16,9,9,9,9
180,16,9,9,9,9
181,16,9,9,9,9
182,16,9,9,9,9
183,16,9,9,9,9
184,16,9,9,9,9
185,16,9,9,9,9
186,16,9,9,9,9
187,16,9,9,9,9
188,16,9,9,9,9
189,16,9,9,9,9
190,16,9,9,9,9
191,16,9,9,9,9
192,16,9,9,9,9
193,16,9,9,9,9
194,16,9,9,9,9
195,16,9,9,9,9
196,16,9,9,9,9
197,16,9,9,9,9
198,16,9,9,9,9
199,16,9,9,9,9
