Round,Fixed-Robust,LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.40),LODS (eps=0.60)
0,144.36,78.065,78.065,78.065,78.065
1,144.36,78.065,78.065,78.065,78.065
2,144.36,78.065,78.065,78.065,78.065
3,144.36,78.065,78.065,78.065,78.065
4,144.36,78.065,78.065,78.065,78.065
5,144.36,78.065,78.065,78.065,78.065
6,144.36,78.065,78.065,78.065,78.065
7,144.36,78.065,78.065,78.065,78.065
8,144.36,78.065,78.065,78.065,78.065
9,144.36,78.065,78.065,78.065,78.065
10,144.36,78.065,78.065,78.065,78.065
11,144.36,78.065,78.065,78.065,78.065
12,144.36,78.065,78.065,78.065,78.065
13,144.36,78.065,78.065,78.065,78.065
14,144.36,78.065,78.065,78.065,78.065
15,144.36,78.065,78.065,78.065,78.065
16,144.36,78.065,78.065,78.065,78.065
17,144.36,78.065,78.065,78.065,78.065
18,144.36,78.065,78.065,78.065,78.065
19,144.36,78.065,78.065,78.065,78.065
20,144.36,78.065,78.065,78.065,78.065
21,144.36,78.065,78.065,78.065,78.065
22,144.36,78.065,78.065,78.065,78.065
23,144.36,78.065,78.065,78.065,78.065
24,144.36,78.065,78.065,78.065,78.065
25,144.36,78.065,78.065,78.065,78.065
26,144.36,78.065,78.065,78.065,78.065
27,144.36,78.065,78.065,78.065,78.065
28,144.36,78.065,78.065,78.065,78.065
29,144.36,78.065,78.065,78.065,78.065
30,144.36,78.065,78.065,78.065,78.065
31,144.36,78.065,78.065,78.065,78.065
32,144.36,78.065,78.065,78.065,78.065
33,144.36,78.065,78.065,78.065,78.065
34,144.36,78.065,78.065,78.065,78.065
35,144.36,78.065,78.065,78.065,78.065
36,144.36,78.065,78.065,78.065,78.065
37,144.36,78.065,78.065,78.065,78.065
38,144.36,78.065,78.065,78.065,78.065
39,144.36,78.065,78.065,78.065,78.065
40,144.36,78.065,78.065,78.065,78.065
41,147.1575,78.065,78.065,78.065,78.065
42,147.1575,78.065,78.065,78.065,78.065
43,147.1575,78.065,78.065,78.065,78.065
44,155.55,78.065,78.065,78.065,78.065
45,149.955,78.065,78.065,78.065,78.065
46,158.3725,78.065,78.065,78.065,78.065
47,169.5625,78.065,78.065,78.065,78.065
48,166.765,78.065,78.065,78.065,78.065
49,169.5375,78.065,78.065,78.065,78.065
50,169.5625,78.065,78.065,78.065,78.065
51,180.7525,78.065,78.065,78.065,78.065
52,175.1575,78.065,78.065,78.065,78.065
53,172.335,78.065,78.065,78.065,78.065
54,177.955,78.065,78.065,78.065,78.065
55,175.1575,78.065,78.065,78.065,78.065
56,183.55,78.065,78.065,78.065,78.065
57,183.55,78.065,78.065,78.065,78.065
58,183.55,78.065,78.065,78.065,78.065
59,186.3475,78.065,78.065,78.065,78.065
60,183.55,78.065,78.065,78.065,78.065
61,186.3475,78.065,78.065,78.065,78.065
62,186.3475,78.065,78.065,78.065,78.065
63,186.3475,82.4625,82.4625,78.065,78.065
64,186.3475,82.4625,78.065,78.065,78.065
65,186.3475,103.2275,78.065,78.065,78.065
66,186.3475,78.065,78.065,78.065,78.065
67,186.3475,103.2275,84.0625,78.065,78.065
68,186.3475,106.415,88.4475,78.065,78.065
69,186.3475,111.225,94.4325,78.065,78.065
70,186.3475,157.95,94.4325,78.065,78.065
71,186.3475,152.39,137.9725,78.065,78.065
72,186.3475,162.7725,168.7575,88.4475,78.065
73,186.3475,173.155,140.3725,82.4625,78.065
74,186.3475,168.77,158.375,88.4475,78.065
75,186.3475,173.155,151.1675,100.4175,78.065
76,186.3475,186.3475,173.155,94.4325,78.065
77,186.3475,186.3475,155.565,113.61,78.065
78,186.3475,186.3475,168.77,116.7975,78.065
79,186.3475,167.17,181.95,134.3875,78.065
80,186.3475,186.3475,186.3475,109.65,78.065
81,186.3475,186.3475,186.3475,168.345,78.065
82,186.3475,186.3475,186.3475,129.99,78.065
83,186.3475,186.3475,186.3475,129.99,78.065
84,186.3475,186.3475,186.3475,186.3475,78.065
85,186.3475,186.3475,186.3475,186.3475,78.065
86,186.3475,186.3475,186.3475,186.3475,82.4625
87,186.3475,186.3475,186.3475,186.3475,78.065
88,186.3475,186.3475,186.3475,162.7725,78.065
89,186.3475,186.3475,186.3475,177.5525,78.065
90,186.3475,186.3475,186.3475,181.525,82.4625
91,186.3475,186.3475,186.3475,186.3475,78.065
92,183.55,186.3475,186.3475,186.3475,78.065
93,186.3475,186.3475,186.3475,186.3475,78.065
94,186.3475,186.3475,186.3475,181.95,78.065
95,186.3475,186.3475,186.3475,186.3475,82.4625
96,186.3475,186.3475,186.3475,186.3475,78.065
97,186.3475,186.3475,186.3475,177.5525,78.065
98,186.3475,186.3475,186.3475,186.3475,78.065
99,186.3475,186.3475,186.3475,186.3475,78.065
100,186.3475,186.3475,186.3475,186.3475,104.8275
101,186.3475,186.3475,186.3475,186.3475,88.4475
102,186.3475,186.3475,186.3475,186.3475,82.4625
103,186.3475,186.3475,186.3475,181.95,84.0625
104,186.3475,186.3475,186.3475,186.3475,109.225
105,186.3475,186.3475,186.3475,177.5525,92.845
106,186.3475,186.3475,186.3475,186.3475,88.4475
107,186.3475,186.3475,186.3475,186.3475,82.4625
108,186.3475,186.3475,186.3475,166.745,78.065
109,186.3475,186.3475,186.3475,181.525,92.845
110,186.3475,186.3475,186.3475,186.3475,78.065
111,186.3475,186.3475,186.3475,186.3475,84.0625
112,186.3475,186.3475,186.3475,186.3475,82.4625
113,186.3475,186.3475,186.3475,168.77,78.065
114,186.3475,186.3475,186.3475,168.77,78.065
115,186.3475,186.3475,186.3475,143.595,78.065
116,186.3475,186.3475,186.3475,168.77,78.065
117,186.3475,186.3475,186.3475,153.9775,78.065
118,186.3475,173.155,186.3475,159.9625,78.065
119,186.3475,186.3475,168.77,135.975,78.065
120,186.3475,186.3475,186.3475,181.95,78.065
121,186.3475,186.3475,173.155,100.855,78.065
122,186.3475,186.3475,186.3475,123.9925,78.065
123,186.3475,186.3475,173.155,115.21,78.065
124,186.3475,159.55,181.95,78.065,78.065
125,186.3475,179.1525,167.17,88.4475,78.065
126,186.3475,186.3475,163.9475,78.065,78.065
127,186.3475,155.165,143.1825,78.065,78.065
