Round,Fixed-Robust,LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.40),LODS (eps=0.60)
0,0.14436,0.078065,0.078065,0.078065,0.078065
1,0.14436,0.078065,0.078065,0.078065,0.078065
2,0.14436,0.078065,0.078065,0.078065,0.078065
3,0.14436,0.078065,0.078065,0.078065,0.078065
4,0.14436,0.078065,0.078065,0.078065,0.078065
5,0.14436,0.078065,0.078065,0.078065,0.078065
6,0.14436,0.078065,0.078065,0.078065,0.078065
7,0.14436,0.078065,0.078065,0.078065,0.078065
8,0.14436,0.078065,0.078065,0.078065,0.078065
9,0.14436,0.078065,0.078065,0.078065,0.078065
10,0.14436,0.078065,0.078065,0.078065,0.078065
11,0.14436,0.078065,0.078065,0.078065,0.078065
12,0.14436,0.078065,0.078065,0.078065,0.078065
13,0.14436,0.078065,0.078065,0.078065,0.078065
14,0.14436,0.078065,0.078065,0.078065,0.078065
15,0.14436,0.078065,0.078065,0.078065,0.078065
16,0.14436,0.078065,0.078065,0.078065,0.078065
17,0.14436,0.078065,0.078065,0.078065,0.078065
18,0.14436,0.078065,0.078065,0.078065,0.078065
19,0.14436,0.078065,0.078065,0.078065,0.078065
20,0.14436,0.078065,0.078065,0.078065,0.078065
21,0.14436,0.078065,0.078065,0.078065,0.078065
22,0.14436,0.078065,0.078065,0.078065,0.078065
23,0.14436,0.078065,0.078065,0.078065,0.078065
24,0.14436,0.078065,0.078065,0.078065,0.078065
25,0.14436,0.078065,0.078065,0.078065,0.078065
26,0.14436,0.078065,0.078065,0.078065,0.078065
27,0.14436,0.078065,0.078065,0.078065,0.078065
28,0.14436,0.078065,0.078065,0.078065,0.078065
29,0.14436,0.078065,0.078065,0.078065,0.078065
30,0.14436,0.078065,0.078065,0.078065,0.078065
31,0.14436,0.078065,0.078065,0.078065,0.078065
32,0.14436,0.078065,0.078065,0.078065,0.078065
33,0.14436,0.078065,0.078065,0.078065,0.078065
34,0.14436,0.078065,0.078065,0.078065,0.078065
35,0.14436,0.078065,0.078065,0.078065,0.078065
36,0.14436,0.078065,0.078065,0.078065,0.078065
37,0.14436,0.078065,0.078065,0.078065,0.078065
38,0.14436,0.078065,0.078065,0.078065,0.078065
39,0.14436,0.078065,0.078065,0.078065,0.078065
40,0.14436,0.078065,0.078065,0.078065,0.078065
41,0.1471575,0.078065,0.078065,0.078065,0.078065
42,0.1471575,0.078065,0.078065,0.078065,0.078065
43,0.1471575,0.078065,0.078065,0.078065,0.078065
44,0.15555,0.078065,0.078065,0.078065,0.078065
45,0.149955,0.078065,0.078065,0.078065,0.078065
46,0.1583725,0.078065,0.078065,0.078065,0.078065
47,0.1695625,0.078065,0.078065,0.078065,0.078065
48,0.166765,0.078065,0.078065,0.078065,0.078065
49,0.1695375,0.078065,0.078065,0.078065,0.078065
50,0.1695625,0.078065,0.078065,0.078065,0.078065
51,0.1807525,0.078065,0.078065,0.078065,0.078065
52,0.1751575,0.078065,0.078065,0.078065,0.078065
53,0.172335,0.078065,0.078065,0.078065,0.078065
54,0.177955,0.078065,0.078065,0.078065,0.078065
55,0.1751575,0.078065,0.078065,0.078065,0.078065
56,0.18355,0.078065,0.078065,0.078065,0.078065
57,0.18355,0.078065,0.078065,0.078065,0.078065
58,0.18355,0.078065,0.078065,0.078065,0.078065
59,0.1863475,0.078065,0.078065,0.078065,0.078065
60,0.18355,0.078065,0.078065,0.078065,0.078065
61,0.1863475,0.078065,0.078065,0.078065,0.078065
62,0.1863475,0.078065,0.078065,0.078065,0.078065
63,0.1863475,0.0824625,0.0824625,0.078065,0.078065
64,0.1863475,0.0824625,0.078065,0.078065,0.078065
