Round,Fixed-Robust,LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.40),LODS (eps=0.60)
0,144360.0,78065.0,78065.0,78065.0,78065.0
1,144360.0,78065.0,78065.0,78065.0,78065.0
2,144360.0,78065.0,78065.0,78065.0,78065.0
3,144360.0,78065.0,78065.0,78065.0,78065.0
4,144360.0,78065.0,78065.0,78065.0,78065.0
5,144360.0,78065.0,78065.0,78065.0,78065.0
6,144360.0,78065.0,78065.0,78065.0,78065.0
7,144360.0,78065.0,78065.0,78065.0,78065.0
8,144360.0,78065.0,78065.0,78065.0,78065.0
9,144360.0,78065.0,78065.0,78065.0,78065.0
10,144360.0,78065.0,78065.0,78065.0,78065.0
11,144360.0,78065.0,78065.0,78065.0,78065.0
12,144360.0,78065.0,78065.0,78065.0,78065.0
13,144360.0,78065.0,78065.0,78065.0,78065.0
14,144360.0,78065.0,78065.0,78065.0,78065.0
15,144360.0,78065.0,78065.0,78065.0,78065.0
16,144360.0,78065.0,78065.0,78065.0,78065.0
17,144360.0,78065.0,78065.0,78065.0,78065.0
18,144360.0,78065.0,78065.0,78065.0,78065.0
19,144360.0,78065.0,78065.0,78065.0,78065.0
20,144360.0,78065.0,78065.0,78065.0,78065.0
21,144360.0,78065.0,78065.0,78065.0,78065.0
22,144360.0,78065.0,78065.0,78065.0,78065.0
23,144360.0,78065.0,78065.0,78065.0,78065.0
24,144360.0,78065.0,78065.0,78065.0,78065.0
25,144360.0,78065.0,78065.0,78065.0,78065.0
26,144360.0,78065.0,78065.0,78065.0,78065.0
27,144360.0,78065.0,78065.0,78065.0,78065.0
28,144360.0,78065.0,78065.0,78065.0,78065.0
29,144360.0,78065.0,78065.0,78065.0,78065.0
30,144360.0,78065.0,78065.0,78065.0,78065.0
31,144360.0,78065.0,78065.0,78065.0,78065.0
32,144360.0,78065.0,78065.0,78065.0,78065.0
33,144360.0,78065.0,78065.0,78065.0,78065.0
34,144360.0,78065.0,78065.0,78065.0,78065.0
35,144360.0,78065.0,78065.0,78065.0,78065.0
36,144360.0,78065.0,78065.0,78065.0,78065.0
37,144360.0,78065.0,78065.0,78065.0,78065.0
38,144360.0,78065.0,78065.0,78065.0,78065.0
39,144360.0,78065.0,78065.0,78065.0,78065.0
40,144360.0,78065.0,78065.0,78065.0,78065.0
41,147157.5,78065.0,78065.0,78065.0,78065.0
42,147157.5,78065.0,78065.0,78065.0,78065.0
43,147157.5,78065.0,78065.0,78065.0,78065.0
44,155550.0,78065.0,78065.0,78065.0,78065.0
45,149955.0,78065.0,78065.0,78065.0,78065.0
46,158372.5,78065.0,78065.0,78065.0,78065.0
47,169562.5,78065.0,78065.0,78065.0,78065.0
48,166765.0,78065.0,78065.0,78065.0,78065.0
49,169537.5,78065.0,78065.0,78065.0,78065.0
50,169562.5,78065.0,78065.0,78065.0,78065.0
51,180752.5,78065.0,78065.0,78065.0,78065.0
52,175157.5,78065.0,78065.0,78065.0,78065.0
53,172335.0,78065.0,78065.0,78065.0,78065.0
54,177955.0,78065.0,78065.0,78065.0,78065.0
55,175157.5,78065.0,78065.0,78065.0,78065.0
56,183550.0,78065.0,78065.0,78065.0,78065.0
57,183550.0,78065.0,78065.0,78065.0,78065.0
58,183550.0,78065.0,78065.0,78065.0,78065.0
59,186347.5,78065.0,78065.0,78065.0,78065.0
60,183550.0,78065.0,78065.0,78065.0,78065.0
61,186347.5,78065.0,78065.0,78065.0,78065.0
62,186347.5,78065.0,78065.0,78065.0,78065.0
63,186347.5,82462.5,82462.5,78065.0,78065.0
64,186347.5,82462.5,78065.0,78065.0,78065.0
65,186347.5,103227.5,78065.0,78065.0,78065.0
66,186347.5,78065.0,78065.0,78065.0,78065.0
67,186347.5,103227.5,84062.5,78065.0,78065.0
68,186347.5,106415.0,88447.5,78065.0,78065.0
69,186347.5,111225.0,94432.5,78065.0,78065.0
70,186347.5,157950.0,94432.5,78065.0,78065.0
71,186347.5,152390.0,137972.5,78065.0,78065.0
72,186347.5,162772.5,168757.5,88447.5,78065.0
73,186347.5,173155.0,140372.5,82462.5,78065.0
74,186347.5,168770.0,158375.0,88447.5,78065.0
75,186347.5,173155.0,151167.5,100417.5,78065.0
76,186347.5,186347.5,173155.0,94432.5,78065.0
77,186347.5,186347.5,155565.0,113610.0,78065.0
78,186347.5,186347.5,168770.0,116797.5,78065.0
79,186347.5,167170.0,181950.0,134387.5,78065.0
80,186347.5,186347.5,186347.5,109650.0,78065.0
81,186347.5,186347.5,186347.5,168345.0,78065.0
82,186347.5,186347.5,186347.5,129990.0,78065.0
83,186347.5,186347.5,186347.5,129990.0,78065.0
84,186347.5,186347.5,186347.5,186347.5,78065.0
85,186347.5,186347.5,186347.5,186347.5,78065.0
86,186347.5,186347.5,186347.5,186347.5,82462.5
87,186347.5,186347.5,186347.5,186347.5,78065.0
88,186347.5,186347.5,186347.5,162772.5,78065.0
89,186347.5,186347.5,186347.5,177552.5,78065.0
90,186347.5,186347.5,186347.5,181525.0,82462.5
91,186347.5,186347.5,186347.5,186347.5,78065.0
92,183550.0,186347.5,186347.5,186347.5,78065.0
93,186347.5,186347.5,186347.5,186347.5,78065.0
94,186347.5,186347.5,186347.5,181950.0,78065.0
95,186347.5,186347.5,186347.5,186347.5,82462.5
96,186347.5,186347.5,186347.5,186347.5,78065.0
97,186347.5,186347.5,186347.5,177552.5,78065.0
98,186347.5,186347.5,186347.5,186347.5,78065.0
99,186347.5,186347.5,186347.5,186347.5,78065.0
100,186347.5,186347.5,186347.5,186347.5,104827.5
101,186347.5,186347.5,186347.5,186347.5,88447.5
102,186347.5,186347.5,186347.5,186347.5,82462.5
103,186347.5,186347.5,186347.5,181950.0,84062.5
104,186347.5,186347.5,186347.5,186347.5,109225.0
105,186347.5,186347.5,186347.5,177552.5,92845.0
106,186347.5,186347.5,186347.5,186347.5,88447.5
107,186347.5,186347.5,186347.5,186347.5,82462.5
108,186347.5,186347.5,186347.5,166745.0,78065.0
109,186347.5,186347.5,186347.5,181525.0,92845.0
110,186347.5,186347.5,186347.5,186347.5,78065.0
111,186347.5,186347.5,186347.5,186347.5,84062.5
112,186347.5,186347.5,186347.5,186347.5,82462.5
113,186347.5,186347.5,186347.5,168770.0,78065.0
114,186347.5,186347.5,186347.5,168770.0,78065.0
115,186347.5,186347.5,186347.5,143595.0,78065.0
116,186347.5,186347.5,186347.5,168770.0,78065.0
117,186347.5,186347.5,186347.5,153977.5,78065.0
118,186347.5,173155.0,186347.5,159962.5,78065.0
119,186347.5,186347.5,168770.0,135975.0,78065.0
120,186347.5,186347.5,186347.5,181950.0,78065.0
121,186347.5,186347.5,173155.0,100855.0,78065.0
122,186347.5,186347.5,186347.5,123992.5,78065.0
123,186347.5,186347.5,173155.0,115210.0,78065.0
124,186347.5,159550.0,181950.0,78065.0,78065.0
125,186347.5,179152.5,167170.0,88447.5,78065.0
126,186347.5,186347.5,163947.5,78065.0,78065.0
127,186347.5,155165.0,143182.5,78065.0,78065.0
128,186347.5,168770.0,106415.0,78065.0,78065.0
129,186347.5,129977.5,118807.5,82462.5,78065.0
130,186347.5,153977.5,103227.5,78065.0,78065.0
131,186347.5,115210.0,84062.5,78065.0,78065.0
132,186347.5,129977.5,92845.0,78065.0,78065.0
133,186347.5,98842.5,84062.5,78065.0,78065.0
134,186347.5,96045.0,78065.0,78065.0,78065.0
135,186347.5,96045.0,84062.5,78065.0,78065.0
136,183550.0,90047.5,84062.5,78065.0,78065.0
137,183525.0,84050.0,78065.0,78065.0,78065.0
138,186347.5,78065.0,78065.0,78065.0,78065.0
139,183550.0,78065.0,78065.0,78065.0,78065.0
140,186347.5,78065.0,78065.0,78065.0,78065.0
141,180752.5,78065.0,78065.0,78065.0,78065.0
142,183550.0,78065.0,78065.0,78065.0,78065.0
143,183550.0,78065.0,78065.0,78065.0,78065.0
144,183550.0,78065.0,78065.0,78065.0,78065.0
145,183550.0,78065.0,78065.0,78065.0,78065.0
146,180752.5,78065.0,78065.0,78065.0,78065.0
147,180752.5,78065.0,78065.0,78065.0,78065.0
148,177955.0,78065.0,78065.0,78065.0,78065.0
149,172335.0,78065.0,78065.0,78065.0,78065.0
150,172335.0,78065.0,78065.0,78065.0,78065.0
151,166765.0,78065.0,78065.0,78065.0,78065.0
152,166740.0,78065.0,78065.0,78065.0,78065.0
153,161145.0,78065.0,78065.0,78065.0,78065.0
154,158372.5,78065.0,78065.0,78065.0,78065.0
155,155575.0,78065.0,78065.0,78065.0,78065.0
156,149955.0,78065.0,78065.0,78065.0,78065.0
157,149955.0,78065.0,78065.0,78065.0,78065.0
158,149955.0,78065.0,78065.0,78065.0,78065.0
159,144360.0,78065.0,78065.0,78065.0,78065.0
160,144360.0,78065.0,78065.0,78065.0,78065.0
161,144360.0,78065.0,78065.0,78065.0,78065.0
162,144360.0,78065.0,78065.0,78065.0,78065.0
163,144360.0,78065.0,78065.0,78065.0,78065.0
164,144360.0,78065.0,78065.0,78065.0,78065.0
165,144360.0,78065.0,78065.0,78065.0,78065.0
166,144360.0,78065.0,78065.0,78065.0,78065.0
167,144360.0,78065.0,78065.0,78065.0,78065.0
168,144360.0,78065.0,78065.0,78065.0,78065.0
169,144360.0,78065.0,78065.0,78065.0,78065.0
170,144360.0,78065.0,78065.0,78065.0,78065.0
171,144360.0,78065.0,78065.0,78065.0,78065.0
172,144360.0,78065.0,78065.0,78065.0,78065.0
173,144360.0,78065.0,78065.0,78065.0,78065.0
174,144360.0,78065.0,78065.0,78065.0,78065.0
175,144360.0,78065.0,78065.0,78065.0,78065.0
176,144360.0,78065.0,78065.0,78065.0,78065.0
177,144360.0,78065.0,78065.0,78065.0,78065.0
178,144360.0,78065.0,78065.0,78065.0,78065.0
179,144360.0,78065.0,78065.0,78065.0,78065.0
180,144360.0,78065.0,78065.0,78065.0,78065.0
181,144360.0,78065.0,78065.0,78065.0,78065.0
182,144360.0,78065.0,78065.0,78065.0,78065.0
183,144360.0,78065.0,78065.0,78065.0,78065.0
184,144360.0,78065.0,78065.0,78065.0,78065.0
185,144360.0,78065.0,78065.0,78065.0,78065.0
186,144360.0,78065.0,78065.0,78065.0,78065.0
187,144360.0,78065.0,78065.0,78065.0,78065.0
188,144360.0,78065.0,78065.0,78065.0,78065.0
189,144360.0,78065.0,78065.0,78065.0,78065.0
190,144360.0,78065.0,78065.0,78065.0,78065.0
191,144360.0,78065.0,78065.0,78065.0,78065.0
192,144360.0,78065.0,78065.0,78065.0,78065.0
193,144360.0,78065.0,78065.0,78065.0,78065.0
194,144360.0,78065.0,78065.0,78065.0,78065.0
195,144360.0,78065.0,78065.0,78065.0,78065.0
196,144360.0,78065.0,78065.0,78065.0,78065.0
197,144360.0,78065.0,78065.0,78065.0,78065.0
198,144360.0,78065.0,78065.0,78065.0,78065.0
199,144360.0,78065.0,78065.0,78065.0,78065.0
