algorithm_name,run_id,TOTAL_TAGS,BER,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,System_Throughput,Total_Time_ms,Algorithm_Type,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
LODS-MTI (Arbitrary K),0,100,0.0,15820.0,0.01582,0.0,2,0,2,0,0.0,6321.112515802781,15.82,LODS_Standard,15.82,0.01582,0.01582,50.0,158.2,2.5284450063211126,6321.112515802781,0.00025027240000000003,1.0
LODS-MTI (Arbitrary K),1,100,0.0,15820.0,0.01582,0.0,2,0,2,0,0.0,6321.112515802781,15.82,LODS_Standard,15.82,0.01582,0.01582,50.0,158.2,2.5284450063211126,6321.112515802781,0.00025027240000000003,1.0
LODS-MTI (Arbitrary K),2,100,0.0,15820.0,0.01582,0.0,2,0,2,0,0.0,6321.112515802781,15.82,LODS_Standard,15.82,0.01582,0.01582,50.0,158.2,2.5284450063211126,6321.112515802781,0.00025027240000000003,1.0
LODS-MTI (Arbitrary K),3,100,0.0,15820.0,0.01582,0.0,2,0,2,0,0.0,6321.112515802781,15.82,LODS_Standard,15.82,0.01582,0.01582,50.0,158.2,2.5284450063211126,6321.112515802781,0.00025027240000000003,1.0
LODS-MTI (Arbitrary K),4,100,0.0,15820.0,0.01582,0.0,2,0,2,0,0.0,6321.112515802781,15.82,LODS_Standard,15.82,0.01582,0.01582,50.0,158.2,2.5284450063211126,6321.112515802781,0.00025027240000000003,1.0
LODS-MTI (Arbitrary K),5,100,0.0,15820.0,0.01582,0.0,2,0,2,0,0.0,6321.112515802781,15.82,LODS_Standard,15.82,0.01582,0.01582,50.0,158.2,2.5284450063211126,6321.112515802781,0.00025027240000000003,1.0
LODS-MTI (Arbitrary K),6,100,0.0,15820.0,0.01582,0.0,2,0,2,0,0.0,6321.112515802781,15.82,LODS_Standard,15.82,0.01582,0.01582,50.0,158.2,2.5284450063211126,6321.112515802781,0.00025027240000000003,1.0
LODS-MTI (Arbitrary K),7,100,0.0,15820.0,0.01582,0.0,2,0,2,0,0.0,6321.112515802781,15.82,LODS_Standard,15.82,0.01582,0.01582,50.0,158.2,2.5284450063211126,6321.112515802781,0.00025027240000000003,1.0
LODS-MTI (Arbitrary K),8,100,0.0,15820.0,0.01582,0.0,2,0,2,0,0.0,6321.112515802781,15.82,LODS_Standard,15.82,0.01582,0.01582,50.0,158.2,2.5284450063211126,6321.112515802781,0.00025027240000000003,1.0
LODS-MTI (Arbitrary K),9,100,0.0,15820.0,0.01582,0.0,2,0,2,0,0.0,6321.112515802781,15.82,LODS_Standard,15.82,0.01582,0.01582,50.0,158.2,2.5284450063211126,6321.112515802781,0.00025027240000000003,1.0
LODS-MTI (Arbitrary K),10,100,0.0,15820.0,0.01582,0.0,2,0,2,0,0.0,6321.112515802781,15.82,LODS_Standard,15.82,0.01582,0.01582,50.0,158.2,2.5284450063211126,6321.112515802781,0.00025027240000000003,1.0
LODS-MTI (Arbitrary K),11,100,0.0,15820.0,0.01582,0.0,2,0,2,0,0.0,6321.112515802781,15.82,LODS_Standard,15.82,0.01582,0.01582,50.0,158.2,2.5284450063211126,6321.112515802781,0.00025027240000000003,1.0
LODS-MTI (Arbitrary K),12,100,0.0,15820.0,0.01582,0.0,2,0,2,0,0.0,6321.112515802781,15.82,LODS_Standard,15.82,0.01582,0.01582,50.0,158.2,2.5284450063211126,6321.112515802781,0.00025027240000000003,1.0
LODS-MTI (Arbitrary K),13,100,0.0,15820.0,0.01582,0.0,2,0,2,0,0.0,6321.112515802781,15.82,LODS_Standard,15.82,0.01582,0.01582,50.0,158.2,2.5284450063211126,6321.112515802781,0.00025027240000000003,1.0
LODS-MTI (Arbitrary K),14,100,0.0,15820.0,0.01582,0.0,2,0,2,0,0.0,6321.112515802781,15.82,LODS_Standard,15.82,0.01582,0.01582,50.0,158.2,2.5284450063211126,6321.112515802781,0.00025027240000000003,1.0
LODS-MTI (Arbitrary K),16,100,0.0,15820.0,0.01582,0.0,2,0,2,0,0.0,6321.112515802781,15.82,LODS_Standard,15.82,0.01582,0.01582,50.0,158.2,2.5284450063211126,6321.112515802781,0.00025027240000000003,1.0
LODS-MTI (Arbitrary K),15,100,0.0,15820.0,0.01582,0.0,2,0,2,0,0.0,6321.112515802781,15.82,LODS_Standard,15.82,0.01582,0.01582,50.0,158.2,2.5284450063211126,6321.112515802781,0.00025027240000000003,1.0
LODS-MTI (Arbitrary K),17,100,0.0,15820.0,0.01582,0.0,2,0,2,0,0.0,6321.112515802781,15.82,LODS_Standard,15.82,0.01582,0.01582,50.0,158.2,2.5284450063211126,6321.112515802781,0.00025027240000000003,1.0
LODS-MTI (Arbitrary K),18,100,0.0,15820.0,0.01582,0.0,2,0,2,0,0.0,6321.112515802781,15.82,LODS_Standard,15.82,0.01582,0.01582,50.0,158.2,2.5284450063211126,6321.112515802781,0.00025027240000000003,1.0
LODS-MTI (Arbitrary K),19,100,0.0,15820.0,0.01582,0.0,2,0,2,0,0.0,6321.112515802781,15.82,LODS_Standard,15.82,0.01582,0.01582,50.0,158.2,2.5284450063211126,6321.112515802781,0.00025027240000000003,1.0
LODS-MTI (Power-of-2),0,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
LODS-MTI (Power-of-2),1,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
LODS-MTI (Power-of-2),3,100,0.0,17967.5,0.017967499999999997,0.0,3,1,2,0,0.3333333333333333,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,0.6666666666666666
LODS-MTI (Power-of-2),2,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
LODS-MTI (Power-of-2),4,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
LODS-MTI (Power-of-2),5,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
LODS-MTI (Power-of-2),6,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
LODS-MTI (Power-of-2),7,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
LODS-MTI (Power-of-2),8,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
LODS-MTI (Power-of-2),9,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
LODS-MTI (Power-of-2),10,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
LODS-MTI (Power-of-2),11,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
LODS-MTI (Power-of-2),12,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
LODS-MTI (Power-of-2),13,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
LODS-MTI (Power-of-2),14,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
