TOTAL_TAGS,LODS-MTI (Arbitrary K),LODS-MTI (Power-of-2)
100,6321.112515802781,5565.604563795742
150,6317.784563546383,5373.099787325474
200,6313.629547786284,6313.629547786284
250,6823.144104803493,5620.315817522989
300,6734.006734006734,6045.348916329092
350,6670.160560293487,5882.735785721271
400,6623.064823246957,6623.064823246957
450,6671.286516429699,6671.286516429699
500,6823.144104803493,6387.657349405818
550,6774.2332799605865,6449.006716427792
600,6733.062140552674,6520.997301746494
650,6698.613902200237,6559.373998748708
700,6862.072345848445,6366.080939365396
750,6823.144104803493,6408.154816671016
800,6788.722235186795,6788.722235186795
850,6759.308960060438,6648.500790373029
900,6778.605373465905,6778.605373465905
950,6851.785070320952,6516.13705734689
1000,6823.144104803493,6688.068485821294
