TOTAL_TAGS,LODS-MTI (Arbitrary K),LODS-MTI (Power-of-2)
100,15.819999999999999,17.9675
150,23.7425,27.9175
200,31.6775,31.6775
250,36.64,44.48325
300,44.55,49.625
350,52.47249999999999,59.497
400,60.395,60.395
450,67.45349999999999,67.45349999999999
500,73.28,78.2765
550,81.19,85.285
600,89.1125,92.01125
650,97.035,99.095
700,102.01,109.95800000000001
750,109.92,117.0385
800,117.8425,117.8425
850,125.75250000000001,127.84849999999999
900,132.77100000000002,132.77100000000002
950,138.65,145.792
1000,146.56,149.52
