TOTAL_TAGS,LODS-MTI (Arbitrary K),LODS-MTI (Power-of-2)
100,1.0,0.9833333333333334
150,1.0,0.8400000000000001
200,0.975,0.975
250,1.0,0.8642857142857142
300,1.0,0.9642857142857142
350,1.0,0.861111111111111
400,1.0,1.0
450,0.90625,0.90625
500,1.0,0.96
550,1.0,0.8954545454545455
600,1.0,0.9909090909090909
650,1.0,0.9416666666666667
700,1.0,0.9714285714285713
750,1.0,0.9166666666666666
800,1.0,1.0
850,1.0,0.9533333333333334
900,0.9766666666666668,0.9766666666666668
950,1.0,0.9555555555555555
1000,1.0,1.0
