TOTAL_TAGS,LODS-MTI (Arbitrary K),LODS-MTI (Power-of-2)
100,0.00025027240000000003,0.00032283105625
150,0.0005637063062499999,0.0007794050062499999
200,0.0010034640062499998,0.0010034640062499998
250,0.0013424895999999999,0.00197883682125
300,0.0019847025,0.002462644225
350,0.00275336325625,0.0035399446849999996
400,0.0036475560249999996,0.0036475560249999996
450,0.004549991046249998,0.004549991046249998
500,0.0053699583999999995,0.00612725257625
550,0.0065918161,0.007273577865
600,0.00794103765625,0.008466141406249999
650,0.009415791225,0.009819836624999998
700,0.0104060401,0.012090788079999998
750,0.012082406399999999,0.013698025586249999
800,0.013886854806249998,0.013886854806249998
850,0.015813691256249998,0.016345255336249996
900,0.017628181704999996,0.017628181704999996
950,0.019223822499999998,0.02125532188
1000,0.021479833599999998,0.022356230399999996
