TOTAL_TAGS,LODS-MTI (Arbitrary K),LODS-MTI (Power-of-2)
100,2.5284450063211126,2.2262418255182967
150,2.5271138254185534,2.1492399149301895
200,2.5254518191145134,2.5254518191145134
250,2.7292576419213974,2.248126327009196
300,2.6936026936026938,2.418139566531637
350,2.668064224117395,2.353094314288508
400,2.6492259292987828,2.6492259292987828
450,2.668514606571879,2.668514606571879
500,2.7292576419213974,2.5550629397623275
550,2.7096933119842346,2.579602686571117
600,2.693224856221069,2.6083989206985976
650,2.679445560880095,2.6237495994994835
700,2.7448289383393782,2.546432375746158
750,2.7292576419213974,2.5632619266684067
800,2.7154888940747184,2.7154888940747184
850,2.7037235840241745,2.6594003161492124
900,2.7114421493863623,2.7114421493863623
950,2.7407140281283806,2.606454822938756
1000,2.7292576419213974,2.675227394328518
