TOTAL_TAGS,LODS-MTI (Arbitrary K),LODS-MTI (Power-of-2)
100,0.01582,0.0179675
150,0.0237425,0.0279175
200,0.0316775,0.0316775
250,0.03664,0.04448325
300,0.04455,0.049625
350,0.0524725,0.059497
400,0.060395,0.060395
450,0.06745349999999999,0.06745349999999999
500,0.07328,0.0782765
550,0.08119,0.085285
600,0.0891125,0.09201125
650,0.097035,0.099095
700,0.10201,0.109958
750,0.10991999999999999,0.1170385
800,0.1178425,0.1178425
850,0.1257525,0.1278485
900,0.132771,0.132771
950,0.13865,0.145792
1000,0.14656,0.14952
